propertyId,price,localityName,carpetArea,coveredArea,floorNumber,totalFloorNumber,bedrooms,bathrooms,ReservedParking,transactionType,furnished,ageofcons
65551083,5300000,"Punawale, Pimpri Chinchwad",554,667,9,11,2,2,True,Resale,Unfurnished,New Construction
73706801,7886646,"Punawale, Pimpri Chinchwad",812,1094,9,25,2,2,True,New Property,Unfurnished,New Construction
74429885,10500000,Kharadi,750,1100,8,28,2,2,False,Resale,Semi-Furnished,Less than 5 years
75060545,6300000,Bavdhan,671,970,8,13,2,2,True,Resale,Unfurnished,New Construction
65289751,3600000,Narhe,550,625,4,4,1,1,False,Resale,Semi-Furnished,5 to 10 years
75331255,37500000,Mohammed Wadi,2560,4500,11,12,4,4,True,Resale,Furnished,5 to 10 years
73006625,2500000,Hinjewadi,525,700,8,10,2,2,True,Resale,Semi-Furnished,5 to 10 years
76068331,22100000,NIBM Road,1670,2235,6,7,3,3,True,Resale,Semi-Furnished,5 to 10 years
75687769,5800000,"Ravet, Pimpri Chinchwad",657,912,3,7,2,2,True,Resale,Unfurnished,Less than 5 years
75669521,6000000,Lohegaon,612,850,2,3,2,2,True,Resale,Furnished,Less than 5 years
76067801,5600000,Kharadi,480,550,5,9,1,2,True,Resale,Unfurnished,5 to 10 years
68146297,6500000,Bavdhan,781,1050,5,10,2,2,True,Resale,Semi-Furnished,Less than 5 years
74264655,6700000,Undri,850,1200,10,14,2,2,True,Resale,Unfurnished,Less than 5 years
72372071,14062500,Baner,1213,1637,9,29,3,3,True,New Property,Unfurnished,Under Construction
72574989,4713500,Handewadi,662,857,9,22,2,2,True,New Property,Unfurnished,Under Construction
56317645,62000000,Baner,3000,3800,10,16,4,5,True,Resale,Unfurnished,5 to 10 years
67012885,12500000,Hinjewadi,1191,1300,2,26,3,3,True,New Property,Unfurnished,Under Construction
68516159,17500000,Erandwane,1004,1500,1,6,3,3,True,New Property,Unfurnished,Under Construction
75665035,4800000,"Ravet, Pimpri Chinchwad",450,625,3,4,2,1,True,Resale,Semi-Furnished,Less than 5 years
75185447,18500000,Sopan Baug,1388,1850,7,11,3,3,True,Resale,Unfurnished,5 to 10 years
25633895,2500000,Shivane,409,571,5,5,1,1,True,Resale,Semi-Furnished,Less than 5 years
73829609,14200000,Wakad,1250,1700,24,35,4,4,True,New Property,Unfurnished,Under Construction
75702117,5000000,Hinjewadi,482,669,6,15,1,1,True,Resale,Semi-Furnished,Less than 5 years
47422895,2271500,Pisoli,423,590,9,10,1,1,True,Resale,Semi-Furnished,Less than 5 years
75960953,8000000,Manjri,800,1050,12,22,2,2,True,Resale,Unfurnished,New Construction
73632945,14200000,Bavdhan,1060,1450,7,12,3,3,True,Resale,Unfurnished,10 to 15 years
73284719,8500000,Phase 1 Hinjewadi Rajiv Gandhi Infotech Park,826,1115,9,17,2,2,True,New Property,Unfurnished,Under Construction
75383315,7677555,Lohegaon,900,1215,5,12,3,3,True,New Property,Furnished,Under Construction
41724449,2900000,Ambegaon,580,622,7,5,1,1,True,Resale,Unfurnished,10 to 15 years
73859789,16500000,Kharadi,1200,1650,13,24,3,3,True,Resale,Furnished,New Construction
75703879,5500000,Moshi,716,995,1,12,2,2,False,Resale,Semi-Furnished,Less than 5 years
